y_true,y_pred,reliability_w,lower,upper
10000.0,9999.74,1.0,9846.04255,10153.43745
10000.0,9999.5122,1.0,9845.844949999999,10153.17945
10000.0,9999.9209,1.0,9846.283099999999,10153.5587
10000.0,10000.2198,1.0,9846.610700000001,10153.8289
10000.0,10000.2818,1.0,9846.70065,10153.86295
10000.0,10000.0922,0.8248,9319.9242,10680.260199999999
10000.0,9999.9875,0.6997,8608.180799999998,11391.7942
10000.0,10000.3056,0.6059,7983.82215,12016.78905
10000.0,9999.912,0.533,7358.1881,12641.635900000001
10000.0,9999.912,0.5841,7452.021000000001,12547.803
10000.0,10000.5354,0.6258,7536.214300000001,12464.856500000002
10000.0,9999.7966,0.6606,7611.65935,12387.93385
10000.0,9999.9715,0.69,7682.391599999999,12317.5514
10000.0,10000.1626,0.7152,7748.661,12251.6642
10000.0,9999.7072,0.7369,7810.591750000001,12188.82265
10000.0,10000.058,0.756,7870.198300000001,12129.917700000002
10000.0,10000.2179,0.7728,7926.8987,12073.5371
10000.0,10000.0169,0.7221,7854.83935,12145.19445
4565.2174,9999.6357,0.6768,7733.618750000001,12265.65265
4565.2174,4565.0577,0.6361,1998.6610500000002,7131.45435
4565.2174,4565.0577,0.5993,1629.2085500000003,7500.90685
4565.2174,4564.7967,0.6216,1713.6109999999999,7415.9824
4565.2174,4565.3639,0.642,1794.7515500000004,7335.97625
4565.2174,4565.1302,0.6606,1871.4495999999995,7258.810799999999
4565.2174,4565.1696,0.6777,1945.14055,7185.19865
4565.2174,4564.9875,0.6935,2015.62615,7114.34885
4565.2174,4565.39,0.7081,2083.95915,7046.82085
4565.2174,4565.3738,0.7216,2149.3445500000003,6981.403050000001
4565.2174,4565.0519,0.7341,2212.07315,6918.030650000001
4565.2174,4565.0519,0.7458,2272.9264000000003,6857.1774000000005
4565.2174,4565.1,0.7568,2331.7646500000005,6798.43535
4565.2174,4565.1,0.767,2388.6100000000006,6741.59
4565.2174,4565.1928,0.7766,2443.7084499999996,6686.6771499999995
4565.2174,4564.7956,0.7856,2496.5712500000004,6633.01995
4565.2174,4564.7956,0.794,2548.1705,6581.420700000001
4565.2174,4564.991,0.802,2598.38145,6531.60055
4565.2174,4565.1283,0.8095,2647.02095,6483.2356500000005
4565.2174,4565.166,0.8166,2694.11215,6436.21985
4565.2174,4565.4275,0.8233,2740.03795,6390.81705
4565.2174,4565.2768,0.8297,2784.2176,6346.335999999999
4565.2174,4565.2354,0.8358,2827.22405,6303.246749999999
4565.2174,4565.2229,0.8415,2869.0247999999997,6261.421
4565.2174,4564.9615,0.847,2909.3871500000005,6220.53585
4565.2174,4564.9615,0.8522,2948.8636500000002,6181.05935
4565.2174,4565.3066,0.8571,2987.5778499999997,6143.03535
4565.2174,4565.0575,0.8618,3024.6282,6105.4868
4565.2174,4564.8732,0.8663,3060.7093999999997,6069.037
4565.2174,4564.8732,0.8707,3095.97485,6033.7715499999995
10000.0,9999.74,1.0,9748.01345,10251.46655
10000.0,9999.5122,1.0,9747.78565,10251.238749999999
10000.0,9999.9209,1.0,9748.19435,10251.647449999999
10000.0,10000.2198,1.0,9748.493250000001,10251.94635
10000.0,10000.2818,1.0,9748.555250000001,10252.00835
10000.0,10000.0922,1.0,9748.36565,10251.818749999999
10000.0,9999.9875,1.0,9748.26095,10251.714049999999
10000.0,10000.3056,1.0,9748.57905,10252.03215
10000.0,9999.912,1.0,9748.18545,10251.63855
10000.0,9999.912,1.0,9748.18545,10251.63855
10000.0,10000.5354,1.0,9748.808850000001,10252.26195
10000.0,9999.7966,1.0,9748.07005,10251.523149999999
10000.0,9999.9715,1.0,9748.24495,10251.698049999999
10000.0,10000.1626,1.0,9748.43605,10251.889149999999
10000.0,9999.7072,1.0,9747.980650000001,10251.43375
10000.0,10000.058,1.0,9748.331450000001,10251.78455
10000.0,10000.2179,1.0,9748.49135,10251.944449999999
10000.0,10000.0169,1.0,9748.290350000001,10251.74345
4565.2174,9999.6357,1.0,9747.909150000001,10251.36225
4565.2174,4565.0577,1.0,4313.33115,4816.784250000001
4565.2174,4565.0577,1.0,4313.33115,4816.784250000001
4565.2174,4564.7967,1.0,4313.07015,4816.52325
4565.2174,4565.3639,1.0,4313.63735,4817.090450000001
4565.2174,4565.1302,1.0,4313.403649999999,4816.85675
4565.2174,4565.1696,1.0,4340.5125,4789.8267000000005
4565.2174,4564.9875,1.0,4313.26095,4816.7140500000005
4565.2174,4565.39,1.0,4313.66345,4817.116550000001
4565.2174,4565.3738,1.0,4313.64725,4817.100350000001
4565.2174,4565.0519,1.0,4313.32535,4816.778450000001
5069.3294,4565.0519,1.0,4313.32535,4816.778450000001
5069.3294,5069.2121,1.0,4817.485549999999,5320.93865
5069.3294,5069.2121,1.0,4817.485549999999,5320.93865
5069.3294,5069.3048,1.0,4817.57825,5321.03135
5069.3294,5068.9076,1.0,4817.181049999999,5320.63415
5069.3294,5068.9076,1.0,4817.181049999999,5320.63415
5069.3294,5069.1031,1.0,4817.37655,5320.829650000001
5069.3294,5069.2404,1.0,4817.513849999999,5320.96695
5069.3294,5069.2781,1.0,4817.55155,5321.004650000001
5069.3294,5069.5395,1.0,4817.81295,5321.26605
5069.3294,5069.3889,1.0,4817.66235,5321.11545
5069.3294,5069.3475,1.0,4817.6209499999995,5321.07405
-330.6143,5069.3349,1.0,4817.6083499999995,5321.06145
-20.0015,-330.8701,1.0,-582.59665,-79.14354999999998
290.6113,-330.8701,1.0,-582.59665,-79.14354999999998
290.6113,290.7005,1.0,38.973949999999974,542.42705
-18.7825,290.4514,1.0,38.724849999999975,542.17795
-0.8269,-19.1267,1.0,-270.85325,232.59985
17.1288,-19.1267,1.0,-270.85325,232.59985
